Date_of_update|Council_ID|LEP_NSI_zone|LEP_SI_zone|LEP_name
20130311  |12120||R2|R2 Low Density Residential
20130311  |12130||R2|R2 Low Density Residential
20130311  |12140||R2|R2 Low Density Residential
20130311  |12150||R2|R2 Low Density Residential
20130311  |12160||R2|R2 Low Density Residential
20130311  |12550||R2|R2 Low Density Residential
20130311  |12560||R2|R2 Low Density Residential
20130311  |12570||R2|R2 Low Density Residential
20130311  |12580||R2|R2 Low Density Residential
20130311  |12590||R2|R2 Low Density Residential
20130311  |12600||R2|R2 Low Density Residential
20130311  |12610||R2|R2 Low Density Residential
20130311  |12620||E3|Zone E3  Environmental Management
20130311  |12630||R2|R2 Low Density Residential
20130311  |12640||R2|R2 Low Density Residential
20130311  |12650||R2|R2 Low Density Residential
20130311  |12660||R2|R2 Low Density Residential
20130311  |12670||R2|R2 Low Density Residential
20130311  |12680||R2|R2 Low Density Residential
20130311  |12690||R2|R2 Low Density Residential
20130311  |12700||R2|R2 Low Density Residential
20130311  |12710||R2|R2 Low Density Residential
20130311  |12720||R2|R2 Low Density Residential
20130311  |12740||R2|R2 Low Density Residential
20130311  |12741||R2|R2 Low Density Residential
20130311  |12750||R2|R2 Low Density Residential
20130311  |12760||R2|R2 Low Density Residential
20130311  |12770||R2|R2 Low Density Residential
20130311  |12780||R2|R2 Low Density Residential
20130311  |12810||R2|R2 Low Density Residential
20130311  |12820||R2|R2 Low Density Residential
20130311  |12830||R2|R2 Low Density Residential
20130311  |12840||R2|R2 Low Density Residential
20130311  |12850||R2|R2 Low Density Residential
20130311  |12860||R2|R2 Low Density Residential
20130311  |12870||R2        |R2 Low Density Residential
20130311  |12880||R2|R2 Low Density Residential
20130311  |12890||R2|R2 Low Density Residential
20130311  |12900||R2|R2 Low Density Residential
20130311  |12910||R2|R2 Low Density Residential
20130311  |12920||R2|R2 Low Density Residential
20130311  |12930||R2|R2 Low Density Residential
20130311  |12940||R2|R2 Low Density Residential
20130311  |12950||R2|R2 Low Density Residential
20130311  |12960||R2|R2 Low Density Residential
20130311  |12970||R2|R2 Low Density Residential
20130311  |12980||R2|R2 Low Density Residential
20130311  |12990||E3|Zone E3  Environmental Management
20130311  |13000||R2|R2 Low Density Residential
20130311  |13010||E3|Zone E3  Environmental Management
20130311  |13020||R2|R2 Low Density Residential
20130311  |13030||R2|R2 Low Density Residential
20130311  |13040||R2|R2 Low Density Residential
20130311  |13050||R2|R2 Low Density Residential
20130311  |13060||R2|R2 Low Density Residential
20130311  |13070||R2|R2 Low Density Residential
20130311  |13080||R2|R2 Low Density Residential
20130311  |13090||R2|R2 Low Density Residential
20130311  |13100||R2|R2 Low Density Residential
20130311  |13110||E3|Zone E3  Environmental Management
20130311  |13111||E3|Zone E3  Environmental Management
20130311  |13112||E3|Zone E3  Environmental Management
20130311  |13120||R2|R2 Low Density Residential
20130311  |13130||R2|R2 Low Density Residential
20130311  |13140||R2|R2 Low Density Residential
20130311  |13150||R2|R2 Low Density Residential
20130311  |13160||R2|R2 Low Density Residential
20130311  |13170||R2|R2 Low Density Residential
20130311  |13180||R2|R2 Low Density Residential
20130311  |13190||R2|R2 Low Density Residential
20130311  |13200||R2|R2 Low Density Residential
20130311  |13210||R2|R2 Low Density Residential
20130311  |13230||R2|R2 Low Density Residential
20130311  |13250||R2|R2 Low Density Residential
20130311  |13270||R2|R2 Low Density Residential
20130311  |13280||R2|R2 Low Density Residential
20130311  |13290||R2|R2 Low Density Residential
20130311  |13300||R2|R2 Low Density Residential
20130311  |13310||R2|R2 Low Density Residential
20130311  |13320||R2|R2 Low Density Residential
20130311  |13330||R2|R2 Low Density Residential
20130311  |13340||R2|R2 Low Density Residential
20130311  |13350||E3|Zone E3  Environmental Management
20130311  |13360||R2|R2 Low Density Residential
20130311  |13370||R2|R2 Low Density Residential
20130311  |13380||R2|R2 Low Density Residential
20130311  |130250||R2|R2 Low Density Residential
20130311  |130260||R2|R2 Low Density Residential
20130311  |130270||R2|R2 Low Density Residential
20130311  |130280||R2|R2 Low Density Residential
20130311  |130290||R2|R2 Low Density Residential
20130311  |130300||R2|R2 Low Density Residential
20130311  |130310||R2|R2 Low Density Residential
20130311  |130320||R2|R2 Low Density Residential
20130311  |130330||R2|R2 Low Density Residential
20130311  |130340||R2|R2 Low Density Residential
20130311  |130350||R2|R2 Low Density Residential
20130311  |130360||R2|R2 Low Density Residential
20130311  |130370||R2|R2 Low Density Residential
20130311  |130371||RE1|RE1 Public Recreation
20130311  |130372||RE1|RE1 Public Recreation
20130311  |130400||R2|R2 Low Density Residential
20130311  |130410||R2|R2 Low Density Residential
20130311  |130420||R2|R2 Low Density Residential
20130311  |130430||R2|R2 Low Density Residential
20130311  |130431||R2|R2 Low Density Residential
20130311  |130440||R2|R2 Low Density Residential
20130311  |130450||R2|R2 Low Density Residential
20130311  |130460||R2|R2 Low Density Residential
20130311  |130470||R2|R2 Low Density Residential
20130311  |130480||R2|R2 Low Density Residential
20130311  |130490||R2|R2 Low Density Residential
20130311  |130500||R2|R2 Low Density Residential
20130311  |130510||R2|R2 Low Density Residential
20130311  |130520||R2|R2 Low Density Residential
20130311  |130521||R2|R2 Low Density Residential
20130311  |130530||R2|R2 Low Density Residential
20130311  |130540||R2|R2 Low Density Residential
20130311  |130550||R2|R2 Low Density Residential
20130311  |130551||R2|R2 Low Density Residential
20130311  |130560||R2|R2 Low Density Residential
20130311  |130570||R2|R2 Low Density Residential
20130311  |130580||R2|R2 Low Density Residential
20130311  |130590||R2|R2 Low Density Residential
20130311  |130600||R2|R2 Low Density Residential
20130311  |130610||R2|R2 Low Density Residential
20130311  |130620||B2|B2 Local Centre
20130311  |131420||R2|R2 Low Density Residential
20130311  |131421||R2|R2 Low Density Residential
20130311  |131422||R2|R2 Low Density Residential
20130311  |131423||R2|R2 Low Density Residential
20130311  |131424||R2|R2 Low Density Residential
20130311  |131425||R2|R2 Low Density Residential
20130311  |131426||R2|R2 Low Density Residential
20130311  |131440||R2|R2 Low Density Residential
20130311  |131450||R2|R2 Low Density Residential
20130311  |131460||R2|R2 Low Density Residential
20130311  |131470||R2|R2 Low Density Residential
20130311  |131480||R2|R2 Low Density Residential
20130311  |131490||R2|R2 Low Density Residential
20130311  |131500||R2|R2 Low Density Residential
20130311  |131510||R2|R2 Low Density Residential
20130311  |131520||R2|R2 Low Density Residential
20130311  |131530||R2|R2 Low Density Residential
20130311  |131540||R2|R2 Low Density Residential
20130311  |131541||R2|R2 Low Density Residential
20130311  |131542||R2|R2 Low Density Residential
20130311  |131543||R2|R2 Low Density Residential
20130311  |131544||R2|R2 Low Density Residential
20130311  |131545||R2|R2 Low Density Residential
20130311  |131550||R2|R2 Low Density Residential
20130311  |131580||R2|R2 Low Density Residential
20130311  |131590||SP2|SP2 Infrastructure
20130311  |131600||R2|R2 Low Density Residential
20130311  |131621||R2|R2 Low Density Residential
20130311  |131650||R2|R2 Low Density Residential
20130311  |131651||R2|R2 Low Density Residential
20130311  |131660||R2|R2 Low Density Residential
20130311  |131680||R2|R2 Low Density Residential
20130311  |131690||R2|R2 Low Density Residential
20130311  |131700||R2|R2 Low Density Residential
20130311  |131710||R2|R2 Low Density Residential
20130311  |131720||R2|R2 Low Density Residential
20130311  |131730||R2        |R2 Low Density Residential
20130311  |131740||R2|R2 Low Density Residential
20130311  |131750||R2|R2 Low Density Residential
20130311  |131760||R2|R2 Low Density Residential
20130311  |131770||R2|R2 Low Density Residential
20130311  |131780||R2|R2 Low Density Residential
20130311  |131790||R2|R2 Low Density Residential
20130311  |131800||R2|R2 Low Density Residential
20130311  |131810||R2|R2 Low Density Residential
20130311  |13580||R2|R2 Low Density Residential
20130311  |13590||R2|R2 Low Density Residential
20130311  |13600||E3|Zone E3  Environmental Management
20130311  |13610||R2|R2 Low Density Residential
20130311  |13620||R2|R2 Low Density Residential
20130311  |13630||R2|R2 Low Density Residential
20130311  |13640||R2|R2 Low Density Residential
20130311  |13650||R2|R2 Low Density Residential
20130311  |13660||R2|R2 Low Density Residential
20130311  |13670||R2|R2 Low Density Residential
20130311  |13680||R2|R2 Low Density Residential
20130311  |13690||R2|R2 Low Density Residential
20130311  |13700||E3|Zone E3  Environmental Management
20130311  |13710||R5|R5 Large Lot Residential
20130311  |13720||R5|R5 Large Lot Residential
20130311  |13730||R5|R5 Large Lot Residential
20130311  |13740||R5|R5 Large Lot Residential
20130311  |13750||E2|Zone E2  Environmental Conservation
20130311  |13760||E3|Zone E3  Environmental Management
20130311  |13770||E3|Zone E3  Environmental Management
20130311  |13800||E3|Zone E3  Environmental Management
20130311  |13801||E3|Zone E3  Environmental Management
20130311  |13810||E3|Zone E3  Environmental Management
20130311  |13820||E3|Zone E3  Environmental Management
20130311  |13830||E3|Zone E3  Environmental Management
20130311  |13831||E3|Zone E3  Environmental Management
20130311  |13832||E3|Zone E3  Environmental Management
20130311  |13833||E3|Zone E3  Environmental Management
20130311  |13834||E3|Zone E3  Environmental Management
20130311  |13835||E3|Zone E3  Environmental Management
20130311  |13836||E3|Zone E3  Environmental Management
20130311  |13837||E3|Zone E3  Environmental Management
20130311  |13838||E3|Zone E3  Environmental Management
20130311  |13839||E3|Zone E3  Environmental Management
20130311  |13849||E3|Zone E3  Environmental Management
20130311  |13850||R3|R3 Medium Density Residential
20130311  |13860||R3|R3 Medium Density Residential
20130311  |13870||R3|R3 Medium Density Residential
20130311  |13880||R3|R3 Medium Density Residential
20130311  |13890||R3|R3 Medium Density Residential
20130311  |13900||E3|Zone E3  Environmental Management
20130311  |13910||R3|R3 Medium Density Residential
20130311  |13920||R3|R3 Medium Density Residential
20130311  |13930||R3|R3 Medium Density Residential
20130311  |13960||R5|R5 Large Lot Residential
20130311  |13961||R5|R5 Large Lot Residential
20130311  |13980||R2|R2 Low Density Residential
20130311  |14040||R2|R2 Low Density Residential
20130311  |14050||R2|R2 Low Density Residential
20130311  |14060||R2|R2 Low Density Residential
20130311  |14070||R2|R2 Low Density Residential
20130311  |14080||R2|R2 Low Density Residential
20130311  |14100||RE1|RE1 Public Recreation
20130311  |14110||R2|R2 Low Density Residential
20130311  |14120||R2|R2 Low Density Residential
20130311  |14130||R2|R2 Low Density Residential
20130311  |129520||R2|R2 Low Density Residential
20130311  |129530||RE1|RE1 Public Recreation
20130311  |129542||R2|R2 Low Density Residential
20130311  |129543||R2|R2 Low Density Residential
20130311  |129550||R2|R2 Low Density Residential
20130311  |129551||R2|R2 Low Density Residential
20130311  |129570||R2|R2 Low Density Residential
20130311  |129580||R2|R2 Low Density Residential
20130311  |129600||R2|R2 Low Density Residential
20130311  |129601||R2|R2 Low Density Residential
20130311  |129602||R2|R2 Low Density Residential
20130311  |129603||R2|R2 Low Density Residential
20130311  |129604||R2|R2 Low Density Residential
20130311  |129605||R2|R2 Low Density Residential
20130311  |129606||R2|R2 Low Density Residential
20130311  |129610||R2|R2 Low Density Residential
20130311  |129620||R2|R2 Low Density Residential
20130311  |129630||R2|R2 Low Density Residential
20130311  |129640||RE1|RE1 Public Recreation
20130311  |129650||R5|R5 Large Lot Residential
20130311  |129651||R5|R5 Large Lot Residential
20130311  |129652||R5|R5 Large Lot Residential
20130311  |129660||R5|R5 Large Lot Residential
20130311  |129670||R5|R5 Large Lot Residential
20130311  |129680||R5|R5 Large Lot Residential
20130311  |129690||R5|R5 Large Lot Residential
20130311  |129691||R5|R5 Large Lot Residential
20130311  |129692||R5|R5 Large Lot Residential
20130311  |129693||R5|R5 Large Lot Residential
20130311  |129710||R5|R5 Large Lot Residential
20130311  |129750||R2|R2 Low Density Residential
20130311  |129760||R5|R5 Large Lot Residential
20130311  |129770||R5|R5 Large Lot Residential
20130311  |129792||R5|R5 Large Lot Residential
20130311  |129804||R5|R5 Large Lot Residential
20130311  |129805||RE1|RE1 Public Recreation
20130311  |129810||R5|R5 Large Lot Residential
20130311  |129820||E4|Zone E4 Environmental Living
20130311  |129830||E4|Zone E4 Environmental Living
20130311  |129840||R5|R5 Large Lot Residential
20130311  |129850||R5|R5 Large Lot Residential
20130311  |129860||R5|R5 Large Lot Residential
20130311  |129870||R5|R5 Large Lot Residential
20130311  |129880||R2|R2 Low Density Residential
20130311  |129890||R2|R2 Low Density Residential
20130311  |129900||R2|R2 Low Density Residential
20130311  |129910||R2|R2 Low Density Residential
20130311  |129930||R2|R2 Low Density Residential
20130311  |129940||R2|R2 Low Density Residential
20130311  |129950||R2|R2 Low Density Residential
20130311  |129960||R2|R2 Low Density Residential
20130311  |129970||R2|R2 Low Density Residential
20130311  |129990||R2|R2 Low Density Residential
20130311  |130000||R2|R2 Low Density Residential
20130311  |130010||R2|R2 Low Density Residential
20130311  |130020||R2|R2 Low Density Residential
20130311  |130040||R2|R2 Low Density Residential
20130311  |130070||R2|R2 Low Density Residential
20130311  |130080||R2|R2 Low Density Residential
20130311  |130090||R2|R2 Low Density Residential
20130311  |130100||R2|R2 Low Density Residential
20130311  |130110||R2|R2 Low Density Residential
20130311  |130150||R2|R2 Low Density Residential
20130311  |130160||R2|R2 Low Density Residential
20130311  |130170||R2|R2 Low Density Residential
20130311  |130180||R2|R2 Low Density Residential
20130311  |130190||R2|R2 Low Density Residential
20130311  |130200||R2|R2 Low Density Residential
20130311  |130210||R2|R2 Low Density Residential
20130311  |130220||R2|R2 Low Density Residential
20130311  |14150||R2|R2 Low Density Residential
20130311  |14160||R2|R2 Low Density Residential
20130311  |14180||R2|R2 Low Density Residential
20130311  |14190||R2|R2 Low Density Residential
20130311  |14200||R2|R2 Low Density Residential
20130311  |14201||R2|R2 Low Density Residential
20130311  |14210||R2|R2 Low Density Residential
20130311  |14220||R2|R2 Low Density Residential
20130311  |14230||R2|R2 Low Density Residential
20130311  |14240||R2|R2 Low Density Residential
20130311  |14250||R2|R2 Low Density Residential
20130311  |14260||R2|R2 Low Density Residential
20130311  |14270||R2|R2 Low Density Residential
20130311  |14280||R2|R2 Low Density Residential
20130311  |14291||R2|R2 Low Density Residential
20130311  |14292||R2|R2 Low Density Residential
20130311  |14293||R2|R2 Low Density Residential
20130311  |14300||SP2|SP2 Infrastructure
20130311  |14310||R2|R2 Low Density Residential
20130311  |14320||R2|R2 Low Density Residential
20130311  |14330||R2|R2 Low Density Residential
20130311  |14350||R2|R2 Low Density Residential
20130311  |14360||R2|R2 Low Density Residential
20130311  |14370||SP2|SP2 Infrastructure
20130311  |14402||R3|R3 Medium Density Residential
20130311  |14420||R2|R2 Low Density Residential
20130311  |14421||R2|R2 Low Density Residential
20130311  |14430||R2|R2 Low Density Residential
20130311  |14440||R2|R2 Low Density Residential
20130311  |14450||R2|R2 Low Density Residential
20130311  |14460||R2|R2 Low Density Residential
20130311  |14470||R2|R2 Low Density Residential
20130311  |14471||R2|R2 Low Density Residential
20130311  |14480||R2|R2 Low Density Residential
20130311  |14481||R2|R2 Low Density Residential
20130311  |14492||R2|R2 Low Density Residential
20130311  |14500||R2|R2 Low Density Residential
20130311  |14510||R2|R2 Low Density Residential
20130311  |14520||R2|R2 Low Density Residential
20130311  |131820||R2|R2 Low Density Residential
20130311  |131840||R2|R2 Low Density Residential
20130311  |131850||R2|R2 Low Density Residential
20130311  |131860||E3|Zone E3  Environmental Management
20130311  |131870||E3|Zone E3  Environmental Management
20130311  |131880||E3|Zone E3  Environmental Management
20130311  |131881||E3|Zone E3  Environmental Management
20130311  |131882||E3|Zone E3  Environmental Management
20130311  |131890||E3|Zone E3  Environmental Management
20130311  |131900||E3|Zone E3  Environmental Management
20130311  |131910||E3|Zone E3  Environmental Management
20130311  |131940||E3|Zone E3  Environmental Management
20130311  |131950||R2|R2 Low Density Residential
20130311  |131960||E3|Zone E3  Environmental Management
20130311  |131980||R5|R5 Large Lot Residential
20130311  |131990||R5|R5 Large Lot Residential
20130311  |132000||R5|R5 Large Lot Residential
20130311  |132010||R5|R5 Large Lot Residential
20130311  |132070||R2|R2 Low Density Residential
20130311  |132090||RU2|RU2 Rural Landscape
20130311  |132097||E3|Zone E3  Environmental Management
20130311  |132098||E3|Zone E3  Environmental Management
20130311  |132099||E3|Zone E3  Environmental Management
20130311  |132120||R5|R5 Large Lot Residential
20130311  |132130||R5|R5 Large Lot Residential
20130311  |132140||R5|R5 Large Lot Residential
20130311  |132150||R5|R5 Large Lot Residential
20130311  |132151||R5|R5 Large Lot Residential
20130311  |132160||R5|R5 Large Lot Residential
20130311  |132170||R2|R2 Low Density Residential
20130311  |132180||R5|R5 Large Lot Residential
20130311  |132190||R5|R5 Large Lot Residential
20130311  |132200||R5|R5 Large Lot Residential
20130311  |132210||R5|R5 Large Lot Residential
20130311  |132220||R5|R5 Large Lot Residential
20130311  |14140||R2|R2 Low Density Residential
20130311  |132680||R2|R2 Low Density Residential
20130311  |132690||RE1|RE1 Public Recreation
20130311  |132700||R2|R2 Low Density Residential
20130311  |132720||R2|R2 Low Density Residential
20130311  |132730||R2|R2 Low Density Residential
20130311  |132760||R2|R2 Low Density Residential
20130311  |132770||R2|R2 Low Density Residential
20130311  |132780||R2|R2 Low Density Residential
20130311  |132790||R2|R2 Low Density Residential
20130311  |132800||R2|R2 Low Density Residential
20130311  |132810||R2|R2 Low Density Residential
20130311  |132820||R2|R2 Low Density Residential
20130311  |132830||R2|R2 Low Density Residential
20130311  |132840||R2|R2 Low Density Residential
20130311  |132860||R2|R2 Low Density Residential
20130311  |132870||R2|R2 Low Density Residential
20130311  |132880||R2|R2 Low Density Residential
20130311  |132890||R2|R2 Low Density Residential
20130311  |132900||R2|R2 Low Density Residential
20130311  |132910||R2|R2 Low Density Residential
20130311  |132920||R2|R2 Low Density Residential
20130311  |132940||R2|R2 Low Density Residential
20130311  |132960||R2|R2 Low Density Residential
20130311  |132970||R2|R2 Low Density Residential
20130311  |132990||R2|R2 Low Density Residential
20130311  |133000||R2|R2 Low Density Residential
20130311  |133010||R2|R2 Low Density Residential
20130311  |133020||R2|R2 Low Density Residential
20130311  |133030||R2|R2 Low Density Residential
20130311  |133040||R2|R2 Low Density Residential
20130311  |133050||R2|R2 Low Density Residential
20130311  |133051||R2|R2 Low Density Residential
20130311  |133070||R2|R2 Low Density Residential
20130311  |133080||R2|R2 Low Density Residential
20130311  |133081||R2|R2 Low Density Residential
20130311  |133090||R2|R2 Low Density Residential
20130311  |133100||R2|R2 Low Density Residential
20130311  |133110||R2|R2 Low Density Residential
20130311  |133120||R2|R2 Low Density Residential
20130311  |133121||R2|R2 Low Density Residential
20130311  |133122||R2|R2 Low Density Residential
20130311  |133130||R2|R2 Low Density Residential
20130311  |133140||R2|R2 Low Density Residential
20130311  |133141||R2|R2 Low Density Residential
20130311  |133150||R3|R3 Medium Density Residential
20130311  |133160||R2|R2 Low Density Residential
20130311  |133170||R2|R2 Low Density Residential
20130311  |14530||R2|R2 Low Density Residential
20130311  |14540||R2|R2 Low Density Residential
20130311  |14550||R2|R2 Low Density Residential
20130311  |14560||R2|R2 Low Density Residential
20130311  |14570||R2|R2 Low Density Residential
20130311  |14580||R2|R2 Low Density Residential
20130311  |14590||R2|R2 Low Density Residential
20130311  |14600||R2|R2 Low Density Residential
20130311  |14610||R2|R2 Low Density Residential
20130311  |14620||RU2|RU2 Rural Landscape
20130311  |14621||RU2|RU2 Rural Landscape
20130311  |14630||E3|Zone E3  Environmental Management
20130311  |14630||RU2|RU2 Rural Landscape
20130311  |14631||E3|Zone E3  Environmental Management
20130311  |14640||E3|Zone E3  Environmental Management
20130311  |14650||E3|Zone E3  Environmental Management
20130311  |14671||E3|Zone E3  Environmental Management
20130311  |14672||E2|Zone E2  Environmental Conservation
20130311  |14673||E2|Zone E2  Environmental Conservation
20130311  |14674||E2|Zone E2  Environmental Conservation
20130311  |14675||E3|Zone E3  Environmental Management
20130311  |14676||E3|Zone E3  Environmental Management
20130311  |14677||E3|Zone E3  Environmental Management
20130311  |14678||E3|Zone E3  Environmental Management
20130311  |14679||E3|Zone E3  Environmental Management
20130311  |14683||E2|Zone E2  Environmental Conservation
20130311  |14690||RU2|RU2 Rural Landscape
20130311  |14700||R2|R2 Low Density Residential
20130311  |14710||R2|R2 Low Density Residential
20130311  |14730||R2|R2 Low Density Residential
20130311  |14740||R2|R2 Low Density Residential
20130311  |14750||R2|R2 Low Density Residential
20130311  |14760||R2|R2 Low Density Residential
20130311  |14770||R2|R2 Low Density Residential
20130311  |14771||R2|R2 Low Density Residential
20130311  |14780||R2|R2 Low Density Residential
20130311  |14781||R2|R2 Low Density Residential
20130311  |14810||RE1|RE1 Public Recreation
20130311  |14811||RE1|RE1 Public Recreation
20130311  |14820||R2|R2 Low Density Residential
20130311  |14821||R2|R2 Low Density Residential
20130311  |14830||R2|R2 Low Density Residential
20130311  |14831||R2|R2 Low Density Residential
20130311  |14840||E3|Zone E3  Environmental Management
20130311  |14850||R2|R2 Low Density Residential
20130311  |14860||R2|R2 Low Density Residential
20130311  |14870||R2|R2 Low Density Residential
20130311  |14880||R2|R2 Low Density Residential
20130311  |14881||R2|R2 Low Density Residential
20130311  |14882||R2|R2 Low Density Residential
20130311  |14890||R2|R2 Low Density Residential
20130311  |14891||R2|R2 Low Density Residential
20130311  |14910||R2|R2 Low Density Residential
20130311  |14911||R2|R2 Low Density Residential
20130311  |14920||R2|R2 Low Density Residential
20130311  |14930||E3|Zone E3  Environmental Management
20130311  |14940||R2|R2 Low Density Residential
20130311  |14950||R2|R2 Low Density Residential
20130311  |14960||R2|R2 Low Density Residential
20130311  |14970||R2|R2 Low Density Residential
20130311  |14980||R2|R2 Low Density Residential
20130311  |14992||R2|R2 Low Density Residential
20130311  |14993||R2|R2 Low Density Residential
20130311  |15010||R2|R2 Low Density Residential
20130311  |15020||E1|Zone E1  National Parks and Nature Reserves
20130311  |15030||R2|R2 Low Density Residential
20130311  |15040||R2|R2 Low Density Residential
20130311  |15050||R2|R2 Low Density Residential
20130311  |15060||R2|R2 Low Density Residential
20130311  |15070||R2|R2 Low Density Residential
20130311  |133180||R3|R3 Medium Density Residential
20130311  |133190||R3|R3 Medium Density Residential
20130311  |133200||R3|R3 Medium Density Residential
20130311  |133210||R3|R3 Medium Density Residential
20130311  |133220||R3|R3 Medium Density Residential
20130311  |133230||R3|R3 Medium Density Residential
20130311  |133240||R3|R3 Medium Density Residential
20130311  |133241||R3|R3 Medium Density Residential
20130311  |133251||R3|R3 Medium Density Residential
20130311  |133260||E3|Zone E3  Environmental Management
20130311  |133270||R2|R2 Low Density Residential
20130311  |133280||R2|R2 Low Density Residential
20130311  |133290||R2|R2 Low Density Residential
20130311  |133300||R2|R2 Low Density Residential
20130311  |133310||R2|R2 Low Density Residential
20130311  |133320||R2|R2 Low Density Residential
20130311  |133330||R2|R2 Low Density Residential
20130311  |133350||R2|R2 Low Density Residential
20130311  |133360||R2|R2 Low Density Residential
20130311  |133370||R2|R2 Low Density Residential
20130311  |133380||R2|R2 Low Density Residential
20130311  |133390||R2|R2 Low Density Residential
20130311  |133400||R2|R2 Low Density Residential
20130311  |133410||R2|R2 Low Density Residential
20130311  |133420||R2|R2 Low Density Residential
20130311  |133430||R2|R2 Low Density Residential
20130311  |133440||R2|R2 Low Density Residential
20130311  |133470||E3|Zone E3  Environmental Management
20130311  |133471||E3|Zone E3  Environmental Management
20130311  |133472||E3|Zone E3  Environmental Management
20130311  |133473||E3|Zone E3  Environmental Management
20130311  |133480||E3|Zone E3  Environmental Management
20130311  |133490||E3|Zone E3  Environmental Management
20130311  |133491||E1|Zone E1  National Parks and Nature Reserves
20130311  |133491||E3|Zone E3  Environmental Management
20130311  |133500||E3|Zone E3  Environmental Management
20130311  |133501||E3|Zone E3  Environmental Management
20130311  |133502||E3|Zone E3  Environmental Management
20130311  |133510||E3|Zone E3  Environmental Management
20130311  |133520||E3|Zone E3  Environmental Management
20130311  |133540||E3|Zone E3  Environmental Management
20130311  |133541||E3|Zone E3  Environmental Management
20130311  |133550||E3|Zone E3  Environmental Management
20130311  |133560||E3|Zone E3  Environmental Management
20130311  |133580||E3|Zone E3  Environmental Management
20130311  |133590||E3|Zone E3  Environmental Management
20130311  |133600||E3|Zone E3  Environmental Management
20130311  |133610||R2|R2 Low Density Residential
20130311  |133623||E3|Zone E3  Environmental Management
20130311  |133640||E3|Zone E3  Environmental Management
20130311  |133660||E3|Zone E3  Environmental Management
20130311  |133670||E3|Zone E3  Environmental Management
20130311  |133690||E3|Zone E3  Environmental Management
20130311  |133700||E3|Zone E3  Environmental Management
20130311  |133710||RU4|RU4 Primary Production Small Holdings
20130311  |133720||RU4|RU4 Primary Production Small Holdings
20130311  |133730||RU4|RU4 Primary Production Small Holdings
20130311  |133740||E2|Zone E2  Environmental Conservation
20130311  |133751||E1|Zone E1  National Parks and Nature Reserves
20130311  |133751||E3|Zone E3  Environmental Management
20130311  |133760||E3|Zone E3  Environmental Management
20130311  |133781||E3|Zone E3  Environmental Management
20130311  |133790||E3|Zone E3  Environmental Management
20130311  |133791||E3|Zone E3  Environmental Management
20130311  |15400||R2|R2 Low Density Residential
20130311  |15410||R5|R5 Large Lot Residential
20130311  |15450||R2|R2 Low Density Residential
20130311  |15471||R2|R2 Low Density Residential
20130311  |15480||E3|Zone E3  Environmental Management
20130311  |15481||E3|Zone E3  Environmental Management
20130311  |15482||E3|Zone E3  Environmental Management
